For M5|Adr     1|TO  251211.dat                 |                      |                      |                      | 
For M5|Adr     2|TO  Start-Line         BF     3|                      |                      |                      | 
For M5|Adr     3|KD1        1                  3|                      |                      |Z         0.00000 m   | 
For M5|Adr     4|KD1        1      13:11:041   3|Rb        1.18845 m   |HD          5.720 m   |                      | 
For M5|Adr     5|KD1        3      13:12:181   3|Rf        1.12581 m   |HD          5.189 m   |                      | 
For M5|Adr     6|KD1        3      13:12:18    3|                      |                      |Z         0.06264 m   | 
For M5|Adr     7|KD1        3      13:12:571   3|Rb        1.08199 m   |HD          4.799 m   |                      | 
For M5|Adr     8|KD1        2      13:13:271   3|Rf        1.08115 m   |HD          6.891 m   |                      | 
For M5|Adr     9|KD1        2      13:13:27    3|                      |                      |Z         0.06348 m   | 
For M5|Adr    10|KD1        2      13:14:071   3|Rb        1.10348 m   |HD          5.889 m   |                      | 
For M5|Adr    11|KD1        4      13:14:431   3|Rf        1.17485 m   |HD          3.142 m   |                      | 
For M5|Adr    12|KD1        4      13:14:43    3|                      |                      |Z        -0.00789 m   | 
For M5|Adr    13|KD1        4      13:15:341   3|Rb        1.17177 m   |HD          2.088 m   |                      | 
For M5|Adr    14|KD1        5      13:16:211   3|Rf        1.27517 m   |HD          5.076 m   |                      | 
For M5|Adr    15|KD1        5      13:16:21    3|                      |                      |Z        -0.11129 m   | 
For M5|Adr    16|KD1        5      13:17:501   3|Rb        1.26736 m   |HD          8.914 m   |                      | 
For M5|Adr    17|TO  Intermediate sight.       3|                      |                      |                      | 
For M5|Adr    18|KD1        6      13:18:211   3|Rz        1.07621 m   |HD          4.996 m   |Z         0.07986 m   | 
For M5|Adr    19|KD1        7      13:18:591   3|Rz        1.07831 m   |HD          2.114 m   |Z         0.07776 m   | 
For M5|Adr    20|KD1        8      13:19:351   3|Rz        1.09160 m   |HD          7.796 m   |Z         0.06447 m   | 
For M5|Adr    21|TO  End of interm. sight.     3|                      |                      |                      | 
For M5|Adr    22|KD1        9      13:20:031   3|Rf        1.11763 m   |HD          9.269 m   |                      | 
For M5|Adr    23|KD1        9      13:20:03    3|                      |                      |Z         0.03844 m   | 
For M5|Adr    24|KD1        9      13:20:451   3|Rb        1.12143 m   |HD          6.899 m   |                      | 
For M5|Adr    25|KD1       10      13:21:161   3|Rf        1.14582 m   |HD          6.500 m   |                      | 
For M5|Adr    26|KD1       10      13:21:16    3|                      |                      |Z         0.01405 m   | 
For M5|Adr    27|KD1       10      13:22:081   3|Rb        1.15004 m   |HD          7.449 m   |                      | 
For M5|Adr    28|KD1       17      13:22:441   3|Rf        1.18566 m   |HD          7.010 m   |                      | 
For M5|Adr    29|KD1       17      13:22:44    3|                      |                      |Z        -0.02157 m   | 
For M5|Adr    30|KD1       17      13:23:481   3|Rb        1.18979 m   |HD          9.620 m   |                      | 
For M5|Adr    31|TO  Intermediate sight.       3|                      |                      |                      | 
For M5|Adr    32|KD1       11      13:24:331   3|Rz        1.18588 m   |HD         11.591 m   |Z        -0.01766 m   | 
For M5|Adr    33|KD1       12      13:24:581   3|Rz        1.23384 m   |HD         12.660 m   |Z        -0.06562 m   | 
For M5|Adr    34|KD1       13      13:25:381   3|Rz        1.19318 m   |HD          2.269 m   |Z        -0.02496 m   | 
For M5|Adr    35|KD1       16      13:26:071   3|Rz        1.24967 m   |HD         10.485 m   |Z        -0.08145 m   | 
For M5|Adr    36|TO  End of interm. sight.     3|                      |                      |                      | 
For M5|Adr    37|KD1       15      13:26:351   3|Rf        1.16488 m   |HD         11.318 m   |                      | 
For M5|Adr    38|KD1       15      13:26:35    3|                      |                      |Z         0.00334 m   | 
For M5|Adr    39|KD1       15      13:27:371   3|Rb        1.14068 m   |HD          4.226 m   |                      | 
For M5|Adr    40|KD1       14      13:28:061   3|Rf        1.21956 m   |HD          4.338 m   |                      | 
For M5|Adr    41|KD1       14      13:28:06    3|                      |                      |Z        -0.07554 m   | 
For M5|Adr    42|KD1       14      13:29:061   3|Rb        1.24989 m   |HD         12.245 m   |                      | 
For M5|Adr    43|KD1      110      13:30:361   3|Rf        1.51550 m   |HD          8.904 m   |                      | 
For M5|Adr    44|KD1      110      13:30:36    3|                      |                      |Z        -0.34115 m   | 
For M5|Adr    45|KD1      110      13:31:531   3|Rb        1.52822 m   |HD          2.390 m   |                      | 
For M5|Adr    46|KD1       18      13:32:331   3|Rf        1.27364 m   |HD          2.830 m   |                      | 
For M5|Adr    47|KD1       18      13:32:33    3|                      |                      |Z        -0.08657 m   | 
For M5|Adr    48|KD1       18      13:33:181   3|Rb        1.25126 m   |HD          3.311 m   |                      | 
For M5|Adr    49|KD1       19      13:33:441   3|Rf        1.20536 m   |HD          3.574 m   |                      | 
For M5|Adr    50|KD1       19      13:33:44    3|                      |                      |Z        -0.04067 m   | 
For M5|Adr    51|KD1       19      13:34:411   3|Rb        1.23563 m   |HD          5.137 m   |                      | 
For M5|Adr    52|KD1       20      13:35:161   3|Rf        1.30211 m   |HD          4.824 m   |                      | 
For M5|Adr    53|KD1       20      13:35:16    3|                      |                      |Z        -0.10715 m   | 
For M5|Adr    54|KD1       20      13:36:031   3|Rb        1.27387 m   |HD          9.927 m   |                      | 
For M5|Adr    55|KD1       21      13:36:411   3|Rf        1.46690 m   |HD          9.788 m   |                      | 
For M5|Adr    56|KD1       21      13:36:41    3|                      |                      |Z        -0.30018 m   | 
For M5|Adr    57|KD1       21      13:37:551   3|Rb        1.48084 m   |HD          9.252 m   |                      | 
For M5|Adr    58|TO  Intermediate sight.       3|                      |                      |                      | 
For M5|Adr    59|KD1       24      13:38:481   3|Rz        1.20961 m   |HD          8.380 m   |Z        -0.02895 m   | 
For M5|Adr    60|KD1       23      13:39:211   3|Rz        1.27573 m   |HD          7.335 m   |Z        -0.09507 m   | 
For M5|Adr    61|KD1       22      13:39:541   3|Rz        1.24458 m   |HD          1.603 m   |Z        -0.06392 m   | 
For M5|Adr    62|TO  End of interm. sight.     3|                      |                      |                      | 
For M5|Adr    63|KD1       25      13:40:501   3|Rf        1.08628 m   |HD         10.135 m   |                      | 
For M5|Adr    64|KD1       25      13:40:50    3|                      |                      |Z         0.09438 m   | 
For M5|Adr    65|KD1       25      13:42:451   3|Rb        1.07371 m   |HD         14.442 m   |                      | 
For M5|Adr    66|TO  Intermediate sight.       3|                      |                      |                      | 
For M5|Adr    67|KD1       27      13:43:461   3|Rz        1.16224 m   |HD          6.262 m   |Z         0.00585 m   | 
For M5|Adr    68|TO  End of interm. sight.     3|                      |                      |                      | 
For M5|Adr    69|KD1      116      13:45:011   3|Rf        1.49822 m   |HD         12.863 m   |                      | 
For M5|Adr    70|KD1      116      13:45:01    3|                      |                      |Z        -0.33013 m   | 
For M5|Adr    71|KD1      116      13:46:431   3|Rb        1.51484 m   |HD          3.506 m   |                      | 
For M5|Adr    72|TO  Intermediate sight.       3|                      |                      |                      | 
For M5|Adr    73|KD1       28      13:47:341   3|Rz        1.12339 m   |HD          6.966 m   |Z         0.06132 m   | 
For M5|Adr    74|TO  End of interm. sight.     3|                      |                      |                      | 
For M5|Adr    75|KD1      117      13:49:151   3|Rf        1.47413 m   |HD          2.166 m   |                      | 
